GEO.id,GEO.id2,GEO.display-label,total,no_schooling,nursery_school,kindergarten,1st_grade,2nd_grade,3rd_grade,4th_grade,5th_grade,6th_grade,7th_grade,8th_grade,9th_grade,10th_grade,11th_grade,12th_grade_no_diploma,high_school_diploma,ged_or_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",5708,82,0,0,0,0,59,59,0,44,0,110,0,28,27,112,833,239,259,669,470,1600,584,319,214
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",6079,115,0,0,0,0,0,0,0,66,3,0,41,17,42,125,614,169,229,739,458,2105,1045,77,234
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2152,49,0,0,0,0,1,0,0,0,0,0,7,59,62,35,346,61,198,172,357,571,170,31,33
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",5084,60,0,0,0,0,0,0,30,43,0,28,20,60,54,18,769,248,472,864,432,1315,526,80,65
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",4498,60,0,0,0,0,0,0,0,0,0,32,0,19,41,76,730,40,307,628,323,1345,602,185,110
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",2333,6,9,0,0,0,9,2,0,0,0,0,0,0,0,18,154,26,79,246,125,880,480,187,112
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",5707,16,21,0,0,0,0,0,0,69,0,0,10,16,0,222,751,159,372,739,452,1617,921,167,175
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",3565,0,12,0,0,0,0,0,0,2,42,0,0,0,15,198,524,64,164,502,421,956,515,60,90
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",1874,1,0,0,0,0,0,0,0,0,0,6,0,0,18,10,100,6,56,333,97,510,445,138,154
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",1537,0,0,0,0,0,0,0,0,4,0,4,0,0,7,0,97,10,81,153,61,508,304,146,162
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1370,0,0,0,0,0,0,0,0,0,0,9,15,2,0,5,114,0,24,189,100,408,341,64,99
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2045,0,0,0,0,5,0,0,0,0,10,51,0,0,0,21,204,47,51,283,114,661,461,76,61
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",5362,66,0,5,0,0,0,0,0,37,0,0,85,76,103,67,539,60,315,1153,309,1551,769,101,126
